16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
16,0
94,185
17,387
185,399
0,130
105,249
31,394
193,384
152,472
92,427
36,436
7,501
194,444
166,503
132,489
80,446
53,505
1,446
190,448
163,505
112,448
86,508
37,453
225,446
199,508
145,441
93,446
66,505
14,446
227,505
173,441
119,441
90,501
35,439
239,484
207,494
152,439
122,498
67,439
12,439
223,501
167,436
138,501
86,446
32,441
2,498
186,436
138,455
108,498
52,436
22,498
206,436
150,436
120,498
64,436
34,498
228,460
172,436
142,498
86,436
30,436
0,498
184,436
154,498
98,436
41,434
12,501
199,444
146,444
119,505
65,441
38,505
226,446
172,441
145,505
93,446
153,142
42,306
206,389
50,199
85,83
94,21
94,0
94,0
94,0
